IRALCFY,IRALCAGE,SCHFELT,TCHGJOB,PARHLPHW,PRCHORE2,PRLMTTV2,PARLMTSN,PRGDJOB2,YOFIGHT2,YOSTOLE2,PRALDLY2,YFLADLY2,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,DRPRVME3,ANYEDUC3,EDUSKPCOM,INCOME,GOVTPROG,POVERTY3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,0,2,2,1
991,991,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,0,2,2,1
1,11,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,1,4,2,3
991,991,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,0,3,2,2
991,991,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,0,4,2,3
991,991,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,99,3,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,5,3,1,3
993,12,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,1,1,10,2,1,1
991,991,2,1,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,99,3,2,2
991,991,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,1,0,4,2,3
991,991,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,1,1,99,2,2,1
991,991,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,99,4,2,3
36,14,1,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,99,1,1,1
991,991,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,1,0,2,2,2
991,991,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,5,4,2,3
991,991,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,0,2,1,2
1,15,1,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,0,2,2,1
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,4,2,3
991,991,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,NA,1,94,2,1,2
991,991,2,2,1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,0,2,2,2
991,991,2,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,99,3,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,1,99,1,1,1
991,991,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,1,2,1,4,2,3
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,1
991,991,1,1,2,1,2,1,1,2,2,1,1,2,1,1,2,1,2,1,4,2,3
993,11,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
2,16,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,1,0,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,4,2,3
991,991,2,1,1,1,2,NA,1,2,2,1,1,2,1,2,2,2,2,0,3,2,2
991,991,1,1,1,1,2,1,1,2,2,1,NA,2,2,2,2,1,1,94,2,2,2
991,991,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,0,1,1,1
3,15,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,4,2,3
991,991,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,0,3,2,2
991,991,2,1,1,1,2,NA,1,2,2,1,1,2,2,2,2,1,2,0,4,2,3
991,991,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,99,4,2,3
1,13,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,1,2,3,2,3
991,991,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,0,4,2,3
991,991,1,1,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,0,2,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,0,3,2,3
991,991,1,1,1,1,2,1,1,2,2,2,1,2,1,2,1,1,2,0,4,2,3
991,991,1,1,2,1,2,1,2,2,2,1,1,1,2,1,2,1,1,0,3,1,2
5,13,2,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,99,4,2,3
993,13,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,4,2,2
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,4,2,3
991,991,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2
991,991,1,1,1,1,2,NA,1,2,2,2,1,NA,2,2,2,2,2,0,3,2,3
991,991,2,1,1,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,4,2,3
13,14,2,1,1,1,2,2,1,2,2,1,1,2,2,2,2,2,2,0,3,2,3
3,17,2,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,99,4,2,3
991,991,1,NA,1,1,1,NA,1,2,2,1,1,1,2,2,NA,2,2,99,2,2,2
2,16,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,1,1
991,991,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1
991,991,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,0,2,1,1
991,991,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,4,2,3
991,991,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,0,2,2,2
9,15,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,99,4,2,3
991,991,2,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,98,4,2,3
991,991,1,1,1,1,NA,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,1
991,991,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,1,0,1,1,1
991,991,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,NA,0,2,1,1
991,991,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,6,1,1,1
991,991,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,NA,2,99,4,2,3
991,991,2,2,1,2,2,2,1,2,2,1,1,1,2,2,2,1,1,99,3,2,3
